iter	RMSE
0	18.55095541
1	18.17580792
2	17.81672704
3	17.47136497
4	17.13782803
5	16.80712821
6	16.48876636
7	16.18091513
8	15.88725302
9	15.60663446
10	15.33574942
11	15.07542021
12	14.82493068
13	14.58437487
14	14.35519156
15	14.13224709
16	13.92060208
17	13.71682214
18	13.52150604
19	13.33326656
20	13.1537531
21	12.98123591
22	12.80755826
23	12.63987723
24	12.48208307
25	12.32525069
26	12.17952049
27	12.03765147
28	11.9056706
29	11.77526709
30	11.65042993
31	11.53076463
32	11.41797342
33	11.31223069
34	11.20926527
35	11.11025942
36	11.0160691
37	10.92798779
38	10.84237705
39	10.76107496
40	10.68473479
41	10.61361797
42	10.54318248
43	10.4755171
44	10.41071116
45	10.34963564
46	10.28973749
47	10.23395139
48	10.18073874
49	10.13151169
50	10.0827787
51	10.03671913
52	9.992502991
53	9.947587556
54	9.905207544
55	9.86518233
56	9.824294762
57	9.786638584
58	9.750667806
59	9.715977168
60	9.683046478
61	9.652320539
62	9.62141336
63	9.593237077
64	9.565610124
65	9.539928873
66	9.515647496
67	9.491959716
68	9.469242003
69	9.447937027
70	9.428190955
71	9.408494481
72	9.390720499
73	9.373620189
74	9.356803584
75	9.34156695
76	9.326424836
77	9.312139908
78	9.299024372
79	9.285657357
80	9.273320625
81	9.260253989
82	9.247389502
83	9.235637729
84	9.224246322
85	9.214124285
86	9.204161402
87	9.19473123
88	9.185851861
89	9.177492318
90	9.16924709
91	9.161504296
92	9.153643335
93	9.147368151
94	9.140438191
95	9.134200398
96	9.128201146
97	9.122059739
98	9.116086286
99	9.110648491
100	9.105732959
101	9.101247023
102	9.09625732
103	9.090907073
104	9.085333924
105	9.080223941
106	9.075637795
107	9.071184635
108	9.066308593
109	9.062972283
110	9.05887979
111	9.055335669
112	9.051428248
113	9.047821273
114	9.044902786
115	9.041155329
116	9.038612319
117	9.03589882
118	9.032584643
119	9.029864032
120	9.027287753
121	9.024540493
122	9.021914878
123	9.019851539
124	9.017641699
125	9.015882855
126	9.013570773
127	9.011351078
128	9.008800407
129	9.006850945
130	9.004932733
131	9.003269039
132	9.001521559
133	8.999796037
134	8.997875067
135	8.996157678
136	8.994348408
137	8.992942993
138	8.991184998
139	8.989521825
140	8.987696578
141	8.985967995
142	8.984400859
143	8.982864194
144	8.981266085
145	8.979970172
146	8.978696327
147	8.976745895
148	8.975215255
149	8.974010206
150	8.972917048
151	8.971652977
152	8.970076793
153	8.968859505
154	8.967797098
155	8.966824522
156	8.965854625
157	8.964770085
158	8.963865364
159	8.96270768
160	8.96135318
161	8.960211335
162	8.959408509
163	8.958400374
164	8.957201849
165	8.956460635
166	8.955606598
167	8.954909818
168	8.954247087
169	8.953389184
170	8.952466396
171	8.951401351
172	8.950712852
173	8.950060451
174	8.948796549
175	8.947932352
176	8.946986222
177	8.946072959
178	8.945331062
179	8.94452196
180	8.943697001
181	8.94313754
182	8.942518851
183	8.941858627
184	8.941216019
185	8.940628011
186	8.939977403
187	8.939520587
188	8.938903306
189	8.93814571
190	8.937238854
191	8.936546006
192	8.93603163
193	8.935301589
194	8.934715267
195	8.933874098
196	8.9332146
197	8.932493555
198	8.932044908
199	8.931380082
200	8.930937402
201	8.930501655
202	8.929982868
203	8.929650154
204	8.929181177
205	8.928580048
206	8.928103347
207	8.92746442
208	8.92703987
209	8.926495991
210	8.9260372
211	8.925591282
212	8.925255527
213	8.924793728
214	8.924178065
215	8.92379637
216	8.923475605
217	8.922966199
218	8.922557052
219	8.92211814
220	8.921837226
221	8.921365858
222	8.920939675
223	8.92047887
224	8.920132909
225	8.919822124
226	8.919519516
227	8.91907343
228	8.918599565
229	8.91814983
230	8.917886869
231	8.917642008
232	8.917309325
233	8.917026513
234	8.916792579
235	8.916500657
236	8.916160253
237	8.915641393
238	8.91534396
239	8.915090976
240	8.914849909
241	8.914651681
242	8.914367918
243	8.91405686
244	8.913744055
245	8.913258815
246	8.912920604
247	8.912884041
248	8.912543928
249	8.912137429
250	8.911821814
251	8.911541744
252	8.91104894
253	8.910511696
254	8.910302649
255	8.909899194
256	8.909615795
257	8.909206188
258	8.908836023
259	8.908628776
260	8.908449913
261	8.908185716
262	8.907840351
263	8.907451701
264	8.907253996
265	8.906852019
266	8.906560947
267	8.906411654
268	8.906105514
269	8.9058353
270	8.90550273
271	8.905289438
272	8.905133008
273	8.905025131
274	8.90462605
275	8.904318321
276	8.903987046
277	8.903803673
278	8.903560013
