iter	Passed	Remaining
0	431	2155205
1	873	2183034
2	1216	2025884
3	1691	2113043
4	2209	2207556
5	2549	2122025
6	3100	2211465
7	3659	2283434
8	4209	2334169
9	4854	2422415
10	5423	2459686
11	5980	2485838
12	6541	2509309
13	7116	2534544
14	7685	2554040
15	8294	2583856
16	8913	2612729
17	9485	2625268
18	10050	2634834
19	10721	2669562
20	11302	2679882
21	11891	2690747
22	12562	2718503
23	13246	2746515
24	13922	2770527
25	14612	2795390
26	15315	2820821
27	15944	2831365
28	16849	2888266
29	17532	2904554
30	18236	2923211
31	18912	2936092
32	19540	2941125
33	20144	2942322
34	20813	2952539
35	21442	2956640
36	22247	2984231
37	23083	3014246
38	23884	3038189
39	24684	3060822
40	25468	3080427
41	26289	3103368
42	26974	3109647
43	27813	3132823
44	28543	3142973
45	29348	3160673
46	30143	3176591
47	30889	3186767
48	31556	3188479
49	32327	3200461
50	33142	3216105
51	33874	3223331
52	34604	3230007
53	35379	3240479
54	36241	3258452
55	37033	3269516
56	37920	3288409
57	38688	3296488
58	39521	3309754
59	40386	3325164
60	41289	3343122
61	42098	3352937
62	42844	3357528
63	43620	3364251
64	44398	3370867
65	45217	3380344
66	46326	3410899
67	47081	3414808
68	47967	3427944
69	48718	3431150
70	49608	3443920
71	50430	3451711
72	51314	3463384
73	52229	3476786
74	53032	3482497
75	53783	3484599
76	54537	3486864
77	55165	3481086
78	56056	3491792
79	57143	3514344
80	57938	3518523
81	58814	3527455
82	59735	3538771
83	60828	3559897
84	61743	3570250
85	62832	3590230
86	63818	3603892
87	64799	3617006
88	65583	3618907
89	66361	3620366
90	67162	3623087
91	68222	3639522
92	69211	3651816
93	70183	3662955
94	70859	3658592
95	71735	3664465
96	72589	3669117
97	73334	3668240
98	74303	3678418
99	75122	3680979
100	75958	3684367
101	76604	3678500
102	77488	3684103
103	78484	3694799
104	79434	3703171
105	80497	3716554
106	81428	3723622
107	82323	3728938
108	83243	3735247
109	83860	3727964
110	84790	3734596
111	85649	3737982
112	86552	3743193
113	87508	3750563
114	88497	3759226
115	89456	3766425
116	90383	3772149
117	91254	3775477
118	92294	3785613
119	93358	3796593
120	94407	3806745
121	95389	3814023
122	96318	3819065
123	97302	3826188
124	98108	3826236
125	98908	3826028
126	99895	3833014
127	100758	3835138
128	101739	3841669
129	102595	3843384
130	103667	3853117
131	104633	3858766
132	105698	3867941
133	106636	3872348
134	107595	3877429
135	108582	3883428
136	109474	3885937
137	110420	3890307
138	111378	3895030
139	112346	3900012
140	113360	3906500
141	114437	3915057
142	115428	3920517
143	116602	3932086
144	117547	3935806
145	118449	3938031
146	119370	3940842
147	120420	3947843
148	121648	3960531
149	122788	3970157
150	123743	3973718
151	124763	3979287
152	125813	3985752
153	126952	3994875
154	127739	3992891
155	128782	3998848
156	129704	4001016
157	130662	4004225
158	131586	4006367
159	132541	4009391
